nome_aeroporto,icao_aerodromo,icao_empresa_aerea,razao_social,rotas_saida,rotas_chegada,total_pousos_decolagens
Mário de Almeida Franco Airport,SBUR,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,3,3,723
Mariscal Sucre International Airport,SEQM,LTG,ABSA - AEROLINHAS BRASILEIRAS S.A.,12,1,754
Comodoro Arturo Merino Benítez International Airport,SCEL,LAN,,11,9,915
Melbourne Airport,YMML,LAN,,1,1,2
Brasília International Airport (Presidente J. Kubitschek Int'l Airport),SBBR,TAM,TAM LINHAS AÉREAS S.A.,37,37,32344
Bonito Airport,SBDB,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,2,350
Hélio Wasum Airport,SSOE,ASO,AEROSUL TÁXI AÉREO LTDA (EX.: AUSTEN TÁXI AÉREO LTDA),4,4,34
Hélio Wasum Airport,SSOE,ASO,AEROSUL TÁXI AÉREO LTDA (EX.: AUSTEN TÁXI AÉREO LTDA),4,4,34
King Abdulaziz International Airport,OEJN,PVV,,1,1,84
Adolfo Suárez Madrid–Barajas Airport,LEMD,IBE,,2,2,656
Tucuruí Airport,SBTU,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),1,1,10
Londrina–Governador José Richa Airport,SBLO,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,4,4,2871
João Simões Lopes Neto International Airport,SBPK,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,2,472
Marechal Rondon International Airport,SBCY,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,28,29,9863
Caçador Airport,SBCD,ASO,AEROSUL TÁXI AÉREO LTDA (EX.: AUSTEN TÁXI AÉREO LTDA),3,4,91
Caçador Airport,SBCD,ASO,AEROSUL TÁXI AÉREO LTDA (EX.: AUSTEN TÁXI AÉREO LTDA),3,4,91
Sepé Tiaraju Airport,SBNM,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,2,332
Tabatinga International Airport,SBTT,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,1,576
José Joaquín de Olmedo International Airport,SEGU,SWQ,,2,3,34
Campina Grande Airport (Presidente João Suassuna Airport),SBKG,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,1,1,1364
Jorge Newbery Airpark,SABE,ARG,,5,6,417
Carauari Airport,SWCA,PAM,MAP TRANSPORTES AÉREOS LTDA.,3,4,533
Professor Urbano Ernesto Stumpf Airport,SBSJ,OWT,,3,4,17
Istanbul New Airport,LTFM,THY,,2,2,722
John F. Kennedy International Airport,KJFK,TAM,TAM LINHAS AÉREAS S.A.,1,2,295
